,real_type,real_start,real_end,read_count,var_size
500_75_0,INSERTION_BIGGER,307,308,52,18
500_75_1,INSERTION_BIGGER,188,189,44,21
500_75_2,INSERTION_BIGGER,251,252,62,34
500_75_3,INSERTION_BIGGER,124,125,58,35
500_75_4,INSERTION_BIGGER,324,325,36,28
600_30_0,INSERTION_BIGGER,384,385,113,11
600_30_1,INSERTION_BIGGER,376,377,159,17
600_30_2,INSERTION_BIGGER,211,212,160,14
600_30_3,INSERTION_BIGGER,420,421,112,10
600_30_4,INSERTION_BIGGER,527,528,102,16
600_35_0,INSERTION_BIGGER,462,463,98,16
600_35_1,INSERTION_BIGGER,210,211,91,16
600_35_2,INSERTION_BIGGER,530,531,123,15
600_35_3,INSERTION_BIGGER,412,413,78,12
600_35_4,INSERTION_BIGGER,244,245,110,13
600_40_0,INSERTION_BIGGER,322,323,73,22
600_40_1,INSERTION_BIGGER,286,287,118,12
600_40_2,INSERTION_BIGGER,133,134,112,15
600_40_3,INSERTION_BIGGER,514,515,69,12
600_40_4,INSERTION_BIGGER,461,462,61,12
600_45_0,INSERTION_BIGGER,436,437,75,24
600_45_1,INSERTION_BIGGER,319,320,71,20
600_45_2,INSERTION_BIGGER,428,429,85,14
600_45_3,INSERTION_BIGGER,431,432,92,25
600_45_4,INSERTION_BIGGER,469,470,113,22
600_50_0,INSERTION_BIGGER,278,279,65,29
600_50_1,INSERTION_BIGGER,92,93,79,26
600_50_2,INSERTION_BIGGER,355,356,52,21
600_50_3,INSERTION_BIGGER,147,148,66,19
600_50_4,INSERTION_BIGGER,407,408,105,28
600_55_0,INSERTION_BIGGER,152,153,78,23
600_55_1,INSERTION_BIGGER,458,459,52,23
600_55_2,INSERTION_BIGGER,398,399,57,19
600_55_3,INSERTION_BIGGER,241,242,57,21
600_55_4,INSERTION_BIGGER,238,239,87,25
600_60_0,INSERTION_BIGGER,121,122,69,32
600_60_1,INSERTION_BIGGER,211,212,48,21
600_60_2,INSERTION_BIGGER,401,402,50,33
600_60_3,INSERTION_BIGGER,266,267,49,22
600_60_4,INSERTION_BIGGER,348,349,41,32
600_65_0,INSERTION_BIGGER,352,353,41,22
600_65_1,INSERTION_BIGGER,287,288,51,33
600_65_2,INSERTION_BIGGER,156,157,52,33
600_65_3,INSERTION_BIGGER,184,185,41,22
600_65_4,INSERTION_BIGGER,465,466,57,31
600_70_0,INSERTION_BIGGER,477,478,37,36
600_70_1,INSERTION_BIGGER,182,183,50,21
600_70_2,INSERTION_BIGGER,378,379,38,21
600_70_3,INSERTION_BIGGER,411,412,54,35
600_70_4,INSERTION_BIGGER,391,392,39,39
600_75_0,INSERTION_BIGGER,207,208,43,35
600_75_1,INSERTION_BIGGER,244,245,49,22
600_75_2,INSERTION_BIGGER,400,401,39,25
600_75_3,INSERTION_BIGGER,360,361,40,37
600_75_4,INSERTION_BIGGER,350,351,54,32
700_30_0,INSERTION_BIGGER,627,628,166,19
700_30_1,INSERTION_BIGGER,431,432,103,19
700_30_2,INSERTION_BIGGER,609,610,92,10
700_30_3,INSERTION_BIGGER,268,269,131,16
700_30_4,INSERTION_BIGGER,510,511,114,20
700_35_0,INSERTION_BIGGER,212,213,81,18
700_35_1,INSERTION_BIGGER,438,439,124,20
700_35_2,INSERTION_BIGGER,448,449,88,12
700_35_3,INSERTION_BIGGER,393,394,83,17
700_35_4,INSERTION_BIGGER,176,177,110,21
700_40_0,INSERTION_BIGGER,311,312,67,18
700_40_1,INSERTION_BIGGER,215,216,109,21
700_40_2,INSERTION_BIGGER,604,605,121,26
700_40_3,INSERTION_BIGGER,356,357,63,22
700_40_4,INSERTION_BIGGER,346,347,88,26
700_45_0,INSERTION_BIGGER,162,163,132,25
700_45_1,INSERTION_BIGGER,491,492,70,16
700_45_2,INSERTION_BIGGER,358,359,68,25
700_45_3,INSERTION_BIGGER,339,340,85,29
700_45_4,INSERTION_BIGGER,109,110,85,21
700_50_0,INSERTION_BIGGER,322,323,53,33
700_50_1,INSERTION_BIGGER,321,322,76,20
700_50_2,INSERTION_BIGGER,109,110,74,23
700_50_3,INSERTION_BIGGER,253,254,76,29
700_50_4,INSERTION_BIGGER,213,214,85,19
700_55_0,INSERTION_BIGGER,257,258,64,34
700_55_1,INSERTION_BIGGER,390,391,75,33
700_55_2,INSERTION_BIGGER,512,513,46,24
700_55_3,INSERTION_BIGGER,422,423,79,26
700_55_4,INSERTION_BIGGER,127,128,84,27
700_60_0,INSERTION_BIGGER,251,252,67,21
700_60_1,INSERTION_BIGGER,192,193,68,34
700_60_2,INSERTION_BIGGER,309,310,51,30
700_60_3,INSERTION_BIGGER,498,499,69,39
700_60_4,INSERTION_BIGGER,480,481,46,30
700_65_0,INSERTION_BIGGER,454,455,52,24
700_65_1,INSERTION_BIGGER,443,444,53,35
700_65_2,INSERTION_BIGGER,455,456,65,27
700_65_3,INSERTION_BIGGER,498,499,47,23
700_65_4,INSERTION_BIGGER,562,563,44,42
700_70_0,INSERTION_BIGGER,336,337,37,32
700_70_1,INSERTION_BIGGER,549,550,39,42
700_70_2,INSERTION_BIGGER,194,195,66,31
700_70_3,INSERTION_BIGGER,335,336,44,42
700_70_4,INSERTION_BIGGER,408,409,55,32
700_75_0,INSERTION_BIGGER,549,550,53,34
700_75_1,INSERTION_BIGGER,420,421,32,44
700_75_2,INSERTION_BIGGER,306,307,42,26
700_75_3,INSERTION_BIGGER,286,287,40,35
700_75_4,INSERTION_BIGGER,186,187,41,44
800_30_0,INSERTION_BIGGER,714,715,110,19
800_30_1,INSERTION_BIGGER,585,586,124,12
800_30_2,INSERTION_BIGGER,570,571,123,17
800_30_3,INSERTION_BIGGER,434,435,105,16
800_30_4,INSERTION_BIGGER,221,222,123,12
800_35_0,INSERTION_BIGGER,272,273,97,27
800_35_1,INSERTION_BIGGER,104,105,150,24
800_35_2,INSERTION_BIGGER,167,168,97,27
800_35_3,INSERTION_BIGGER,231,232,110,14
800_35_4,INSERTION_BIGGER,611,612,113,24
800_40_0,INSERTION_BIGGER,643,644,79,31
800_40_1,INSERTION_BIGGER,538,539,73,30
800_40_2,INSERTION_BIGGER,268,269,62,20
800_40_3,INSERTION_BIGGER,664,665,110,27
800_40_4,INSERTION_BIGGER,108,109,62,26
800_45_0,INSERTION_BIGGER,559,560,83,33
800_45_1,INSERTION_BIGGER,365,366,66,24
800_45_2,INSERTION_BIGGER,175,176,97,33
800_45_3,INSERTION_BIGGER,400,401,71,35
800_45_4,INSERTION_BIGGER,166,167,95,35
800_50_0,INSERTION_BIGGER,475,476,91,36
800_50_1,INSERTION_BIGGER,610,611,70,35
800_50_2,INSERTION_BIGGER,420,421,83,24
800_50_3,INSERTION_BIGGER,420,421,69,29
800_50_4,INSERTION_BIGGER,268,269,72,27
800_55_0,INSERTION_BIGGER,368,369,57,42
800_55_1,INSERTION_BIGGER,540,541,51,36
800_55_2,INSERTION_BIGGER,507,508,63,38
800_55_3,INSERTION_BIGGER,568,569,56,30
800_55_4,INSERTION_BIGGER,304,305,52,24
800_60_0,INSERTION_BIGGER,390,391,45,45
800_60_1,INSERTION_BIGGER,221,222,60,24
800_60_2,INSERTION_BIGGER,411,412,61,25
800_60_3,INSERTION_BIGGER,211,212,48,34
800_60_4,INSERTION_BIGGER,384,385,59,25
800_65_0,INSERTION_BIGGER,303,304,64,28
800_65_1,INSERTION_BIGGER,148,149,48,33
800_65_2,INSERTION_BIGGER,270,271,43,33
800_65_3,INSERTION_BIGGER,202,203,45,38
800_65_4,INSERTION_BIGGER,243,244,50,43
800_70_0,INSERTION_BIGGER,270,271,42,48
800_70_1,INSERTION_BIGGER,558,559,40,54
800_70_2,INSERTION_BIGGER,254,255,38,36
800_70_3,INSERTION_BIGGER,351,352,39,49
800_70_4,INSERTION_BIGGER,510,511,58,54
800_75_0,INSERTION_BIGGER,427,428,41,34
800_75_1,INSERTION_BIGGER,479,480,41,55
800_75_2,INSERTION_BIGGER,336,337,53,46
800_75_3,INSERTION_BIGGER,442,443,45,48
800_75_4,INSERTION_BIGGER,433,434,37,52
900_30_0,INSERTION_BIGGER,128,129,143,20
900_30_1,INSERTION_BIGGER,366,367,143,21
900_30_2,INSERTION_BIGGER,461,462,153,13
900_30_3,INSERTION_BIGGER,103,104,155,26
900_30_4,INSERTION_BIGGER,178,179,117,22
900_35_0,INSERTION_BIGGER,391,392,109,17
900_35_1,INSERTION_BIGGER,238,239,115,19
900_35_2,INSERTION_BIGGER,611,612,118,18
900_35_3,INSERTION_BIGGER,589,590,93,19
900_35_4,INSERTION_BIGGER,157,158,94,27
900_40_0,INSERTION_BIGGER,224,225,65,25
900_40_1,INSERTION_BIGGER,160,161,68,26
900_40_2,INSERTION_BIGGER,659,660,71,31
900_40_3,INSERTION_BIGGER,313,314,72,25
900_40_4,INSERTION_BIGGER,244,245,84,18
900_45_0,INSERTION_BIGGER,595,596,82,25
900_45_1,INSERTION_BIGGER,724,725,64,28
900_45_2,INSERTION_BIGGER,364,365,54,28
900_45_3,INSERTION_BIGGER,406,407,64,26
900_45_4,INSERTION_BIGGER,440,441,75,34
900_50_0,INSERTION_BIGGER,412,413,57,22
900_50_1,INSERTION_BIGGER,540,541,78,28
900_50_2,INSERTION_BIGGER,676,677,87,38
900_50_3,INSERTION_BIGGER,162,163,81,24
900_50_4,INSERTION_BIGGER,590,591,59,38
900_55_0,INSERTION_BIGGER,750,751,65,47
900_55_1,INSERTION_BIGGER,651,652,76,45
900_55_2,INSERTION_BIGGER,510,511,53,38
900_55_3,INSERTION_BIGGER,367,368,64,42
900_55_4,INSERTION_BIGGER,666,667,71,36
900_60_0,INSERTION_BIGGER,515,516,47,37
900_60_1,INSERTION_BIGGER,400,401,48,51
900_60_2,INSERTION_BIGGER,554,555,56,44
900_60_3,INSERTION_BIGGER,243,244,52,51
900_60_4,INSERTION_BIGGER,454,455,53,31
900_65_0,INSERTION_BIGGER,597,598,70,39
900_65_1,INSERTION_BIGGER,305,306,48,35
900_65_2,INSERTION_BIGGER,255,256,49,43
900_65_3,INSERTION_BIGGER,397,398,62,38
900_65_4,INSERTION_BIGGER,368,369,47,36
900_70_0,INSERTION_BIGGER,206,207,42,53
900_70_1,INSERTION_BIGGER,383,384,41,53
900_70_2,INSERTION_BIGGER,470,471,41,31
900_70_3,INSERTION_BIGGER,445,446,51,61
900_70_4,INSERTION_BIGGER,417,418,48,37
900_75_0,INSERTION_BIGGER,364,365,43,38
900_75_1,INSERTION_BIGGER,318,319,41,60
900_75_2,INSERTION_BIGGER,397,398,37,34
900_75_3,INSERTION_BIGGER,499,500,41,63
900_75_4,INSERTION_BIGGER,313,314,41,59
1000_30_0,INSERTION_BIGGER,727,728,116,26
1000_30_1,INSERTION_BIGGER,706,707,87,16
1000_30_2,INSERTION_BIGGER,351,352,100,29
1000_30_3,INSERTION_BIGGER,698,699,132,17
1000_30_4,INSERTION_BIGGER,775,776,120,15
1000_35_0,INSERTION_BIGGER,150,151,81,28
1000_35_1,INSERTION_BIGGER,675,676,112,19
1000_35_2,INSERTION_BIGGER,321,322,113,30
1000_35_3,INSERTION_BIGGER,436,437,86,19
1000_35_4,INSERTION_BIGGER,140,141,108,31
1000_40_0,INSERTION_BIGGER,311,312,72,31
1000_40_1,INSERTION_BIGGER,205,206,106,32
1000_40_2,INSERTION_BIGGER,509,510,82,30
1000_40_3,INSERTION_BIGGER,735,736,81,20
1000_40_4,INSERTION_BIGGER,248,249,76,29
1000_45_0,INSERTION_BIGGER,720,721,80,44
1000_45_1,INSERTION_BIGGER,676,677,75,39
1000_45_2,INSERTION_BIGGER,403,404,63,41
1000_45_3,INSERTION_BIGGER,182,183,72,43
1000_45_4,INSERTION_BIGGER,255,256,101,27
1000_50_0,INSERTION_BIGGER,495,496,54,25
1000_50_1,INSERTION_BIGGER,244,245,63,37
1000_50_2,INSERTION_BIGGER,563,564,89,48
1000_50_3,INSERTION_BIGGER,384,385,80,38
1000_50_4,INSERTION_BIGGER,466,467,56,49
1000_55_0,INSERTION_BIGGER,478,479,72,41
1000_55_1,INSERTION_BIGGER,828,829,65,33
1000_55_2,INSERTION_BIGGER,241,242,65,32
1000_55_3,INSERTION_BIGGER,765,766,47,52
1000_55_4,INSERTION_BIGGER,510,511,71,29
1000_60_0,INSERTION_BIGGER,331,332,68,51
1000_60_1,INSERTION_BIGGER,689,690,65,54
1000_60_2,INSERTION_BIGGER,625,626,58,46
1000_60_3,INSERTION_BIGGER,373,374,49,49
1000_60_4,INSERTION_BIGGER,710,711,41,44
1000_65_0,INSERTION_BIGGER,674,675,60,39
1000_65_1,INSERTION_BIGGER,456,457,53,44
1000_65_2,INSERTION_BIGGER,550,551,62,39
1000_65_3,INSERTION_BIGGER,497,498,48,58
1000_65_4,INSERTION_BIGGER,526,527,41,36
1000_70_0,INSERTION_BIGGER,522,523,42,69
1000_70_1,INSERTION_BIGGER,666,667,44,69
1000_70_2,INSERTION_BIGGER,529,530,44,53
1000_70_3,INSERTION_BIGGER,370,371,38,43
1000_70_4,INSERTION_BIGGER,476,477,60,41
1000_75_0,INSERTION_BIGGER,764,765,41,48
1000_75_1,INSERTION_BIGGER,420,421,44,67
1000_75_2,INSERTION_BIGGER,436,437,31,58
1000_75_3,INSERTION_BIGGER,739,740,34,41
1000_75_4,INSERTION_BIGGER,594,595,37,48
1100_30_0,INSERTION_BIGGER,569,570,92,18
1100_30_1,INSERTION_BIGGER,365,366,115,29
1100_30_2,INSERTION_BIGGER,211,212,100,23
1100_30_3,INSERTION_BIGGER,810,811,115,32
1100_30_4,INSERTION_BIGGER,625,626,131,25
1100_35_0,INSERTION_BIGGER,349,350,80,25
1100_35_1,INSERTION_BIGGER,303,304,84,23
1100_35_2,INSERTION_BIGGER,413,414,74,37
1100_35_3,INSERTION_BIGGER,233,234,101,35
1100_35_4,INSERTION_BIGGER,818,819,94,22
1100_40_0,INSERTION_BIGGER,284,285,77,23
1100_40_1,INSERTION_BIGGER,427,428,93,32
1100_40_2,INSERTION_BIGGER,664,665,70,31
1100_40_3,INSERTION_BIGGER,427,428,94,30
1100_40_4,INSERTION_BIGGER,648,649,105,23
1100_45_0,INSERTION_BIGGER,166,167,90,37
1100_45_1,INSERTION_BIGGER,567,568,81,38
1100_45_2,INSERTION_BIGGER,945,946,75,43
1100_45_3,INSERTION_BIGGER,402,403,84,46
1100_45_4,INSERTION_BIGGER,475,476,71,48
1100_50_0,INSERTION_BIGGER,477,478,76,54
1100_50_1,INSERTION_BIGGER,202,203,96,35
1100_50_2,INSERTION_BIGGER,437,438,55,36
1100_50_3,INSERTION_BIGGER,214,215,76,54
1100_50_4,INSERTION_BIGGER,875,876,84,42
1100_55_0,INSERTION_BIGGER,327,328,78,54
1100_55_1,INSERTION_BIGGER,779,780,57,57
1100_55_2,INSERTION_BIGGER,795,796,66,35
1100_55_3,INSERTION_BIGGER,703,704,76,55
1100_55_4,INSERTION_BIGGER,167,168,45,34
1100_60_0,INSERTION_BIGGER,695,696,46,64
1100_60_1,INSERTION_BIGGER,693,694,68,62
1100_60_2,INSERTION_BIGGER,237,238,48,60
1100_60_3,INSERTION_BIGGER,924,925,45,55
1100_60_4,INSERTION_BIGGER,185,186,44,42
1100_65_0,INSERTION_BIGGER,835,836,46,48
1100_65_1,INSERTION_BIGGER,274,275,41,70
1100_65_2,INSERTION_BIGGER,696,697,47,59
1100_65_3,INSERTION_BIGGER,217,218,55,40
1100_65_4,INSERTION_BIGGER,655,656,53,68
1100_70_0,INSERTION_BIGGER,614,615,69,52
1100_70_1,INSERTION_BIGGER,638,639,35,40
1100_70_2,INSERTION_BIGGER,756,757,43,69
1100_70_3,INSERTION_BIGGER,336,337,41,47
1100_70_4,INSERTION_BIGGER,847,848,36,46
1100_75_0,INSERTION_BIGGER,415,416,38,59
1100_75_1,INSERTION_BIGGER,357,358,35,53
1100_75_2,INSERTION_BIGGER,758,759,32,80
1100_75_3,INSERTION_BIGGER,769,770,33,78
1100_75_4,INSERTION_BIGGER,592,593,38,54
1200_30_0,INSERTION_BIGGER,115,116,108,23
1200_30_1,INSERTION_BIGGER,548,549,152,24
1200_30_2,INSERTION_BIGGER,962,963,134,18
1200_30_3,INSERTION_BIGGER,728,729,145,28
1200_30_4,INSERTION_BIGGER,570,571,134,27
1200_35_0,INSERTION_BIGGER,436,437,104,40
1200_35_1,INSERTION_BIGGER,1072,1073,76,37
1200_35_2,INSERTION_BIGGER,1010,1011,98,39
1200_35_3,INSERTION_BIGGER,402,403,109,22
1200_35_4,INSERTION_BIGGER,958,959,81,29
1200_40_0,INSERTION_BIGGER,820,821,80,46
1200_40_1,INSERTION_BIGGER,386,387,103,47
1200_40_2,INSERTION_BIGGER,500,501,82,47
1200_40_3,INSERTION_BIGGER,1042,1043,100,35
1200_40_4,INSERTION_BIGGER,990,991,90,43
1200_45_0,INSERTION_BIGGER,270,271,80,30
1200_45_1,INSERTION_BIGGER,809,810,62,39
1200_45_2,INSERTION_BIGGER,290,291,73,36
1200_45_3,INSERTION_BIGGER,394,395,68,40
1200_45_4,INSERTION_BIGGER,875,876,88,28
1200_50_0,INSERTION_BIGGER,231,232,64,50
1200_50_1,INSERTION_BIGGER,269,270,53,43
1200_50_2,INSERTION_BIGGER,749,750,78,38
1200_50_3,INSERTION_BIGGER,599,600,83,31
1200_50_4,INSERTION_BIGGER,219,220,76,43
1200_55_0,INSERTION_BIGGER,892,893,77,34
1200_55_1,INSERTION_BIGGER,574,575,62,58
1200_55_2,INSERTION_BIGGER,662,663,59,40
1200_55_3,INSERTION_BIGGER,985,986,82,49
1200_55_4,INSERTION_BIGGER,651,652,50,52
1200_60_0,INSERTION_BIGGER,708,709,48,59
1200_60_1,INSERTION_BIGGER,644,645,59,57
1200_60_2,INSERTION_BIGGER,430,431,45,37
1200_60_3,INSERTION_BIGGER,714,715,57,66
1200_60_4,INSERTION_BIGGER,317,318,40,42
1200_65_0,INSERTION_BIGGER,882,883,69,73
1200_65_1,INSERTION_BIGGER,511,512,46,54
1200_65_2,INSERTION_BIGGER,899,900,49,58
1200_65_3,INSERTION_BIGGER,302,303,62,63
1200_65_4,INSERTION_BIGGER,257,258,42,43
1200_70_0,INSERTION_BIGGER,666,667,42,53
1200_70_1,INSERTION_BIGGER,325,326,41,81
1200_70_2,INSERTION_BIGGER,697,698,42,61
1200_70_3,INSERTION_BIGGER,391,392,51,72
1200_70_4,INSERTION_BIGGER,621,622,47,72
1200_75_0,INSERTION_BIGGER,888,889,38,67
1200_75_1,INSERTION_BIGGER,911,912,43,71
1200_75_2,INSERTION_BIGGER,276,277,42,47
1200_75_3,INSERTION_BIGGER,366,367,45,65
1200_75_4,INSERTION_BIGGER,537,538,39,84
1300_30_0,INSERTION_BIGGER,827,828,123,30
1300_30_1,INSERTION_BIGGER,846,847,112,23
1300_30_2,INSERTION_BIGGER,156,157,152,32
1300_30_3,INSERTION_BIGGER,196,197,90,30
1300_30_4,INSERTION_BIGGER,453,454,113,34
1300_35_0,INSERTION_BIGGER,636,637,127,34
1300_35_1,INSERTION_BIGGER,1086,1087,118,43
1300_35_2,INSERTION_BIGGER,184,185,87,28
1300_35_3,INSERTION_BIGGER,1011,1012,96,28
1300_35_4,INSERTION_BIGGER,1111,1112,109,42
1300_40_0,INSERTION_BIGGER,549,550,88,40
1300_40_1,INSERTION_BIGGER,791,792,79,44
1300_40_2,INSERTION_BIGGER,449,450,92,40
1300_40_3,INSERTION_BIGGER,556,557,98,42
1300_40_4,INSERTION_BIGGER,651,652,110,35
1300_45_0,INSERTION_BIGGER,992,993,99,56
1300_45_1,INSERTION_BIGGER,815,816,80,52
1300_45_2,INSERTION_BIGGER,900,901,81,56
1300_45_3,INSERTION_BIGGER,413,414,65,50
1300_45_4,INSERTION_BIGGER,340,341,95,44
1300_50_0,INSERTION_BIGGER,865,866,71,33
1300_50_1,INSERTION_BIGGER,440,441,52,33
1300_50_2,INSERTION_BIGGER,761,762,57,40
1300_50_3,INSERTION_BIGGER,547,548,61,64
1300_50_4,INSERTION_BIGGER,235,236,67,62
1300_55_0,INSERTION_BIGGER,899,900,68,35
1300_55_1,INSERTION_BIGGER,302,303,68,62
1300_55_2,INSERTION_BIGGER,268,269,57,59
1300_55_3,INSERTION_BIGGER,955,956,52,61
1300_55_4,INSERTION_BIGGER,705,706,57,58
1300_60_0,INSERTION_BIGGER,401,402,61,44
1300_60_1,INSERTION_BIGGER,465,466,54,68
1300_60_2,INSERTION_BIGGER,828,829,57,65
1300_60_3,INSERTION_BIGGER,257,258,43,59
1300_60_4,INSERTION_BIGGER,505,506,53,52
1300_65_0,INSERTION_BIGGER,425,426,35,58
1300_65_1,INSERTION_BIGGER,499,500,51,49
1300_65_2,INSERTION_BIGGER,291,292,55,51
1300_65_3,INSERTION_BIGGER,803,804,49,80
1300_65_4,INSERTION_BIGGER,1002,1003,46,83
1300_70_0,INSERTION_BIGGER,285,286,51,90
1300_70_1,INSERTION_BIGGER,639,640,47,59
1300_70_2,INSERTION_BIGGER,772,773,48,53
1300_70_3,INSERTION_BIGGER,827,828,38,69
1300_70_4,INSERTION_BIGGER,714,715,34,58
1300_75_0,INSERTION_BIGGER,623,624,54,73
1300_75_1,INSERTION_BIGGER,915,916,46,82
1300_75_2,INSERTION_BIGGER,478,479,35,48
1300_75_3,INSERTION_BIGGER,366,367,46,62
1300_75_4,INSERTION_BIGGER,773,774,36,85
1400_30_0,INSERTION_BIGGER,965,966,133,32
1400_30_1,INSERTION_BIGGER,885,886,119,39
1400_30_2,INSERTION_BIGGER,619,620,100,33
1400_30_3,INSERTION_BIGGER,742,743,123,28
1400_30_4,INSERTION_BIGGER,727,728,130,33
1400_35_0,INSERTION_BIGGER,929,930,120,37
1400_35_1,INSERTION_BIGGER,716,717,117,27
1400_35_2,INSERTION_BIGGER,564,565,83,25
1400_35_3,INSERTION_BIGGER,637,638,108,44
1400_35_4,INSERTION_BIGGER,1236,1237,88,31
1400_40_0,INSERTION_BIGGER,528,529,107,53
1400_40_1,INSERTION_BIGGER,874,875,76,43
1400_40_2,INSERTION_BIGGER,1140,1141,78,49
1400_40_3,INSERTION_BIGGER,789,790,66,53
1400_40_4,INSERTION_BIGGER,1086,1087,90,30
1400_45_0,INSERTION_BIGGER,403,404,71,33
1400_45_1,INSERTION_BIGGER,902,903,74,36
1400_45_2,INSERTION_BIGGER,765,766,68,46
1400_45_3,INSERTION_BIGGER,294,295,64,43
1400_45_4,INSERTION_BIGGER,1111,1112,80,37
1400_50_0,INSERTION_BIGGER,584,585,58,37
1400_50_1,INSERTION_BIGGER,961,962,76,59
1400_50_2,INSERTION_BIGGER,564,565,58,49
1400_50_3,INSERTION_BIGGER,429,430,63,57
1400_50_4,INSERTION_BIGGER,665,666,74,42
1400_55_0,INSERTION_BIGGER,271,272,54,64
1400_55_1,INSERTION_BIGGER,336,337,65,70
1400_55_2,INSERTION_BIGGER,1121,1122,55,58
1400_55_3,INSERTION_BIGGER,990,991,71,43
1400_55_4,INSERTION_BIGGER,270,271,55,61
1400_60_0,INSERTION_BIGGER,282,283,52,63
1400_60_1,INSERTION_BIGGER,768,769,51,48
1400_60_2,INSERTION_BIGGER,509,510,59,58
1400_60_3,INSERTION_BIGGER,690,691,53,77
1400_60_4,INSERTION_BIGGER,594,595,56,51
1400_65_0,INSERTION_BIGGER,732,733,49,59
1400_65_1,INSERTION_BIGGER,668,669,48,56
1400_65_2,INSERTION_BIGGER,984,985,40,71
1400_65_3,INSERTION_BIGGER,409,410,46,47
1400_65_4,INSERTION_BIGGER,701,702,45,49
1400_70_0,INSERTION_BIGGER,456,457,37,72
1400_70_1,INSERTION_BIGGER,784,785,41,52
1400_70_2,INSERTION_BIGGER,1026,1027,46,52
1400_70_3,INSERTION_BIGGER,612,613,41,74
1400_70_4,INSERTION_BIGGER,372,373,39,62
1400_75_0,INSERTION_BIGGER,573,574,40,83
1400_75_1,INSERTION_BIGGER,741,742,37,79
1400_75_2,INSERTION_BIGGER,789,790,34,62
1400_75_3,INSERTION_BIGGER,601,602,31,100
1400_75_4,INSERTION_BIGGER,800,801,46,101
1500_30_0,INSERTION_BIGGER,911,912,93,43
1500_30_1,INSERTION_BIGGER,596,597,147,43
1500_30_2,INSERTION_BIGGER,150,151,97,30
1500_30_3,INSERTION_BIGGER,294,295,97,36
1500_30_4,INSERTION_BIGGER,578,579,116,33
1500_35_0,INSERTION_BIGGER,683,684,91,40
1500_35_1,INSERTION_BIGGER,500,501,79,36
1500_35_2,INSERTION_BIGGER,1335,1336,101,45
1500_35_3,INSERTION_BIGGER,633,634,95,49
1500_35_4,INSERTION_BIGGER,354,355,104,48
1500_40_0,INSERTION_BIGGER,439,440,96,48
1500_40_1,INSERTION_BIGGER,838,839,72,48
1500_40_2,INSERTION_BIGGER,1215,1216,96,57
1500_40_3,INSERTION_BIGGER,489,490,77,40
1500_40_4,INSERTION_BIGGER,652,653,65,55
1500_45_0,INSERTION_BIGGER,567,568,81,38
1500_45_1,INSERTION_BIGGER,1153,1154,68,60
1500_45_2,INSERTION_BIGGER,738,739,96,42
1500_45_3,INSERTION_BIGGER,314,315,60,55
1500_45_4,INSERTION_BIGGER,304,305,82,36
1500_50_0,INSERTION_BIGGER,798,799,52,47
1500_50_1,INSERTION_BIGGER,334,335,63,37
1500_50_2,INSERTION_BIGGER,300,301,59,55
1500_50_3,INSERTION_BIGGER,942,943,56,46
